Community,Feature
Duneborne,"Oasis: During a short rest, you or an ally can reroll a die used for a downtime move and take the higher result."
Freeborne,"Unbound: Once per session when you roll with Fear, you can change it into a roll with Hope instead."
Frostborne,"Hardy: When you take a rest, you clear a Hit Point."
Hearthborne,"Close-Knit: Once per long rest, you can spend any number of Hope to grant an ally within Far range an equal number of Hope"
Highborne,"PRIVILEGE: You have advantage on rolls to consort with nobles, negotiate prices, or leverage your reputation to get what you want."
Loreborne,"WELL-READ: You have advantage on rolls that invoke the history, culture, or politics of a prominent person or place."
Orderborne,"DEDICATED: Record three sayings or values your upbringing instilled in you. Once per rest, when you describe how you're embodying one of these principles through your current action, you can roll a d20 as your Hope Die."
Reborne,"Found Family: Once per rest, you can spend a Hope to use an ally’s Experience as if it were your own. When you do so,
describe how your time with that ally prepared you for this moment.
When you join a new community or rediscover your old one, you can permanently trade this card for that one instead."
Ridgeborne,"STEADY: You have advantage on rolls to traverse dangerous cliffs and ledges, navigate harsh environments, and use your survival knowledge."
Seaborne,"KNOW THE TIDE: You can sense the ebb and flow of life. When you roll with Fear, place a token on your community card. You can hold a number of tokens equal to your level. Before you make an action roll, you can spend any number of these tokens to gain a +1 bonus to the roll for each token spent. At the end of each session, clear all unspent tokens."
Slyborne,"SCOUNDREL: You have advantage on rolls to negotiate with criminals, detect lies, or find a safe place to hide."
Underborne,"LOW-LIGHT LIVING: When you're in an area with low light or heavy shadow, you have advantage on rolls to hide, investigate, or perceive details in that area."
Wanderborne,"NOMADIC PACK: Add a Nomadic Pack to your inventory. Once per session, you can spend a Hope to reach into this pack and pull out a mundane item that's useful to your situation. Work with the GM to figure out what item you take out."
Warborne,"Brave Face: Once per session when you would be forced to mark a Stress, you can spend a Hope instead."
Wildborne,LIGHTFOOT: Your movement is naturally silent. You have advantage on rolls to move without being heard.
