Class,Feature,Hope,Stress
Assassin,"Marked for Death: On a successful weapon attack, you can mark a Stress to make the target Marked for Death. When you deal damage to a target you’ve Marked for Death, add a number of d4s equal to your tier to the damage roll. You can have only one adversary Marked for Death at a time. This condition lasts until you take a rest, the current adversary Marked for Death is defeated, or the GM spends a number of Fear equal to your tier to clear it.",-3,
Bard,"MAKE A SCENE: Spend 3 Hope to temporarily Distract a target within Close range, giving them a -2 penalty to their Difficulty.",-3,
Brawler,"Square Up: Spend 3 Hope to intimidate a target within Close range, making them temporarily Vulnerable.",-3,
Druid,"EVOLUTION: Spend 3 Hope to transform into a Beastform without marking a Stress. When you do, choose one trait to raise by +1 until you drop out of that Beastform.",-3,
Guardian,FRONTLINE TANK: Spend 3 Hope to clear 2 Armor Slots.,-3,
Ranger,HOLD THEM OFF: Spend 3 Hope when you succeed on an attack with a weapon to use that same roll against two additional adversaries wtihin range of the attack.,-3,
Rogue,ROGUE'S DODGE: Spend 3 Hope to gain a +2 bonus to your Evasion until the next time an attack succeeds against you. This bonus lasts until your next rest.,-3,
Seraph,LIFE SUPPORT: Spend 3 Hope to clear a Hit Point on an ally within Close Range.,-3,
Sorcerer,VOLATILE MAGIC: Spend 3 Hope to reroll any number of your damage dice on an attack that deals magic damage.,-3,
Warlock,"Patron's Boon: When you fail a roll, you can spend 3 Hope to reroll with advantage.",-3,
Warrior,NO MERCY: Spend 3 Hope to gain a +1 bonus to your attack rolls until your next rest.,-3,
Witch,"Witch's Charm: When you or an ally within Far range fails an action roll, you can spend 3 Hope to change it into a success with Fear instead.",-3,
Wizard,NOT THIS TIME: Spend 3 Hope to force an adversary within Far range to reroll an attack or damage roll.,-3,
Assassin,Get In & Get Out: Spend a Hope to ask the GM for a quick or inconspicuous way into or out of a place you can see. The next roll you make that acts on this information has Advantage.,-1,
Bard,"RALLY: Once per session, describe how you rally the party and give yourself and each of your allies a Rally Die. At level 1, your Rally Die is a d6. A PC can spend their Rally Die to roll it, adding the result to their action roll, reaction roll, damage roll, or to clear a number of Stress equal to the result. At the end of each session, clear all unspent Rally Dice.

At level 5, your Rally Die increases to a d8.",,
Brawler,"I Am the Weapon: Your barehanded attacks are as strong as any blade. You have a primary weapon called Brawler’s Strike equipped while you have no other Active Weapons. It uses a trait of your choice, has Melee range, and deals d8+d6 physical damage using your Proficiency (both the d8 and d6 scale off your Proficiency). While this weapon is active, you gain a +1 bonus to your Evasion.",,
Brawler,"Combo Strike: After rolling damage on a successful attack with a Melee weapon, you can mark a Stress to start a combo strike. When you do, roll your Combo Die and note the result, then continue rolling your Combo Die until the result of your latest roll is lower than the roll that preceded it. You deal extra damage equal to the total of all rolled Combo Die results on this attack. The results can’t be modified by any means.
Your Combo Die starts as a d4. Once per tier, you can increase your Combo Die by one step as a level advancement option.",,-1
Druid,"BEASTFORM: Mark a Stress to magically transform into a creature of your tier or lower from the Beastform list. You can drop out of this form at any time. While transformed, you can't use weapons or cast spells from domain cards, but you can still use other features abilities you have access to. Spells you cast before you transform stay active and last for their normal duration, and you can talk and communicate as normal. Additionally, you gain the Beastform's features, add their Evasion bonus to your Evasion, and use the trait specified in thier statistics for your attack. While you're in Beastform, your armor becomes part of your body and you mark Armor Slots as usual; when you drop out of a Beastform, those marked Armor Slots remain marked. If you mark your last Hit Point, you automatically drop out of this form.",,-1
Druid,"WILDTOUCH: You can perform harmless, subtle effects that involve nature - such as causing a flower to rapidly grow, summoning a slight gust of wind, or starting a campfire - at will.",,
Guardian,"UNSTOPPABLE: Once per long rest, you can become Unstoppable. You gain an Unstoppable Die. At level 1, your Unstoppable Die is a d4. Place it on your character sheet in the space provided, starting with the 1 value facing up. After you make a damage roll that deals 1 or more Hit Points to a target, increase the Unstoppable Die value by one. When the die's value would exceed its maximum value or when the scene ends, remove the die and drop out of Unstoppable. At level 5, your Unstoppable Die increases to a d6.
While Unstoppable, you gain the following benefits:
◦ You reduce the severity of physical damage by one threshold (Severe to Major, Major to Minor, Minor to None).
◦ You add the current value of the Unstoppable Die to your damage roll.
◦ You can't be Restrained or Vulnerable.",,
