Quaff,Healing, Greater Healing, Superior Healing, Supreme Healing, Full Healing(70hp)
Quaff,Antitoxin,Lycanthropy / Mummy Rot antidote (1d2),Elixir of health, Vitality, Longevity
Quaff,10ft 1hr,Kinetic Jaunt,Ashardalon’s Stride, Speed, Oil of Slipperiness
Quaff,+1 AC,Barkskin, Resistance, Stoneskin, Invulnerability
Quaff, Growth, Motivation, Heroism, Frost Giant Strength,Oil of Sharpness
Quaff,Comprehension ,Psionic Fortitude ,Mind Reading,Intellect Fortress, Commune (1)
Quaff,Alter self 10 min,Polychromy,Flying,Aqueous Form, Oil of Etherealness
Throw, Alchemist's Fire, Dragon's breath (1d6/choice), Elemental Weapon, Fireball (15ft), Storm Sphere (no initial dmg)
Throw, Poison, Drow Poison, Stinking cloud, Serpent Venom, Cloudkill 
Throw, Color spray, Sleep(lvl2), Pyrotechnics: Smoke, Hypnotic pattern, Sickening Radiance (20ft)
Throw, Sacred flame, Guiding bolt, Moonbeam, Daylight, Magic circle
Throw, Animal friendship, Philter of Love, Truth Serum, Calm Emotions, Fast friends
Throw, Hunter's mark, Faerie fire, Dispel invisibility,Clairvoyance, Locate Creature  
